Date,Adj Close,Close,High,Low,Open,Volume
2023-09-13,84.63803101,87.63999939,88.29000092,87.38200378,87.94000244,10634900
2023-09-14,84.98570251,88,88.59999847,87.44000244,88.55000305,8643100
2023-09-15,84.08755493,87.06999969,88.22000122,86.81999969,87.76999664,10130900
2023-09-18,84.03926849,87.01999664,87.16999817,85.39499664,86.15000153,9291600
2023-09-19,84.12619019,87.11000061,87.87999725,86.08000183,86.12000275,9247000
2023-09-20,82.80311584,85.73999786,87.5,85.65000153,86.97000122,9228200
2023-09-21,81.2289505,84.11000061,84.77500153,83.76000214,83.86000061,10622200
2023-09-22,85.27542877,88.30000305,88.875,87.11000061,87.36499786,22469600
2023-09-25,84.23242188,87.22000122,87.26999664,85.76999664,85.87999725,9897200
2023-09-26,82.96729279,85.91000366,87.06999969,85.69999695,86.45999908,9666600
2023-09-27,83.23770142,86.19000244,86.55000305,85.30000305,86.37999725,7233900
2023-09-28,82.60996246,85.54000092,85.88999939,84.30500031,84.88999939,10093600
2023-09-29,83.76885986,86.73999786,87.94999695,86.60500336,87.29000092,9647300
2023-10-02,83.5660553,86.52999878,87.10500336,85.88999939,86.75,8209800
2023-10-03,81.64421844,84.54000092,85,83.94999695,84.5,11448800
2023-10-04,81.19998169,84.08000183,84.54000092,83.65000153,84.27500153,8904700
2023-10-05,80.80402374,83.66999817,83.70999908,82.44999695,83.51999664,10334500
2023-10-06,83.1121521,86.05999756,86.51499939,84,84.25,13410200
2023-10-09,81.94359589,84.84999847,85.20999908,83.56999969,83.91000366,10880000
2023-10-10,84.18412781,87.16999817,87.73999786,85.56999969,85.66999817,13557800
2023-10-11,84.77323914,87.77999878,88.79599762,87.14499664,88.01000214,11111500
2023-10-12,81.61524963,84.51000214,87.66999817,84.19999695,87.58000183,16158100
2023-10-13,81.14202881,84.01999664,85.48999786,83.75,84.05999756,10325500
2023-10-16,81.42209625,84.30999756,84.96499634,82.62999725,83.69999695,10075300
2023-10-17,81.03579712,83.91000366,84.36000061,82.55999756,82.75,8270000
2023-10-18,80.16662598,83.01000214,83.73000336,82.76000214,82.95999908,9321600
2023-10-19,78.81458282,81.61000061,82.39499664,81.11499786,81.48000336,12624100
2023-10-20,77.20178223,79.94000244,80.86000061,79.78299713,80.23000336,14618600
2023-10-23,77.7522583,80.51000214,80.9260025,79.01999664,79.41999817,12715200
2023-10-24,80.03142548,82.87000275,83.31999969,80.44000244,80.44999695,17925800
2023-10-25,78.25444794,81.02999878,82,80.77999878,81.30000305,11390200
2023-10-26,79.68375397,82.51000214,83.08999634,81.19999695,81.26499939,13010400
2023-10-27,79.98313141,82.81999969,84.12000275,82.48000336,83.87000275,10795600
2023-10-30,80.29217529,83.13999939,84.23999786,83.01100159,83.62999725,8980500
2023-10-31,79.71272278,82.54000092,82.54000092,80.87999725,81.94000244,12094300
2023-11-01,79.65478516,82.48000336,82.48999786,81.20999908,81.70500183,9550000
2023-11-02,80.55293274,83.41000366,83.98000336,83.02999878,83.65000153,10606300
2023-11-03,82.38784027,85.30999756,86.08000183,84.5,84.94000244,15122600
2023-11-06,82.43612671,85.36000061,86.72000122,85.23000336,86.55000305,9786400
2023-11-07,82.48442078,85.41000366,85.66000366,84.11000061,84.86000061,8829400
2023-11-08,81.89531708,84.80000305,85.73000336,84.48000336,84.62000275,8154600
2023-11-09,79.89622498,82.73000336,84.69000244,82.47499847,84.58000183,10885100
2023-11-10,79.91553497,82.75,82.87000275,81.66000366,82.41000366,9779500
2023-11-13,79.44232178,82.26000214,83.31500244,82.08000183,82.75,11236900
2023-11-14,80.99717712,83.87000275,84.53500366,82.31999969,82.76000214,20897600
